Feature,SHAP_Mean_Abs,SHAP_Mean
lactate_mmol,5.6588287,-3.7052348
creatinine,0.7798709,-0.66910326
respiratory_rate_mean,0.24557678,-0.19303152
ph_arterial,0.20091808,-0.1358315
respiratory_rate_min,0.19530316,-0.13307928
spo2_mean,0.14583713,-0.06435444
platelet_count,0.1324808,-0.055570308
bicarbonate,0.13001743,-0.08188773
spo2_max,0.092725314,-0.06306771
sbp_max,0.06929301,-0.05887315
hr_mean,0.06555428,-0.04932657
temp_celsius_mean,0.04121497,-0.02151322
spo2_min,0.023112148,-0.008429092
age,0.015989538,-0.003317111
hr_min,0.011302129,-0.008347192
temp_celsius_max,0.00857438,-0.0053478135
hr_max,0.0073308656,-0.0055484497
dbp_max,0.005405408,-0.0019423643
sodium,0.0030875697,0.001529621
respiratory_rate_max,0.002294351,-0.0017139076
height_cm,0.0017632982,-0.0013888191
glucose,0.0016614149,-0.00027195667
temp_celsius_min,0.0014856156,-0.0012931545
sbp_min,0.0013970345,-0.0005976457
icu_los_hours,0.000983261,0.00041303787
map_mean,0.00095995504,0.00036045638
weight_kg,0.00093625824,0.00029071374
dbp_min,0.0008267686,-0.00046382562
dbp_mean,0.00056213606,-0.00026988186
sbp_mean,0.00050978526,-0.0003976278
dbp_std,0.000219476,2.3005952e-05
sbp_std,0.00019221668,-0.00013427752
spo2_std,0.00015408285,2.4023992e-05
temp_celsius_std,0.00015380955,1.4383295e-05
bmi,0.0,0.0
hr_std,0.0,0.0
wbc,0.0,0.0
inr,0.0,0.0
bilirubin_total,0.0,0.0
potassium,0.0,0.0
respiratory_rate_std,0.0,0.0
chloride,0.0,0.0
hematocrit,0.0,0.0
diabetes,0.0,0.0
hemoglobin,0.0,0.0
chf,0.0,0.0
copd,0.0,0.0
chronic_kidney_disease,0.0,0.0
hypertension,0.0,0.0
immunosuppression,0.0,0.0
cad,0.0,0.0
atrial_fibrillation,0.0,0.0
cancer_active,0.0,0.0
fio2_percent,0.0,0.0
sedation_score,0.0,0.0
insulin_infusion_flag,0.0,0.0
liver_disease,0.0,0.0
gcs_total,0.0,0.0
icu_admit_time_hour,0.0,0.0
day_of_week,0.0,0.0
readmission_30day,0.0,0.0
gender_M,0.0,0.0
gender_Mael,0.0,0.0
ethnicity_Black,0.0,0.0
ethnicity_Hispanic,0.0,0.0
ethnicity_Other,0.0,0.0
ethnicity_White,0.0,0.0
insurance_Medicare,0.0,0.0
insurance_Private,0.0,0.0
insurance_Self-pay,0.0,0.0
hospital_admit_source_ED,0.0,0.0
hospital_admit_source_OR,0.0,0.0
hospital_admit_source_Transfer,0.0,0.0
